,SERIES,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% Change 2016-2015
Indonesia,VFR,"38,895","21,739","24,984","34,327","18,732","29,352","32,197","36,685","40,870","50,856","112,164","147,245","230,476","337,082","395,013","469,365","574,179","686,779","807,429","868,539",,,
Indonesia,THSR,"35,233","18,909","20,276","28,331","15,408","21,395","22,092","27,682","31,559","41,826","84,895","110,208","179,754","264,960","339,804","365,297","447,912","565,707","653,200","711,040",,,
"Iran, Islamic Republic of",VFN,"2,395","2,497","1,409","2,570","3,004",,,,,,,,,,"4,378","7,648","22,728","26,160","34,795","46,697","58,049","66,509",14.57
Israel,TFR,"4,310","3,743","4,408","5,158","6,834","9,848","6,277","2,605","1,935","2,960","4,046","10,818","7,596","8,923","7,570","12,890","16,806","19,276","24,942","32,201","46,889","79,152",68.81
Israel,VFR,"4,307","3,740","4,408","5,158","6,834","9,848","6,277","2,605",,"2,960","4,046","10,818","7,758","9,083","7,714","13,258","17,418","19,633","25,410","32,820","47,247","79,980",69.28
Italy,TFN,,,"64,807","103,140","109,783","109,187","89,374","162,315","125,695","95,554","95,471","117,446","160,082","158,226","138,210","136,780","209,651","231,022","289,682","294,580","248,155","254,785",2.67
Italy,VFN,,"43,962","68,827","103,966","110,760","109,416","89,706","162,318","125,696","105,047","100,607","124,781","167,987","163,796","145,995","145,991","223,815","251,699","297,513","310,064","271,951","280,123",3.00
Italy,THSN,,,"100,539","184,812","260,083","356,849","387,496","521,226","467,345","713,586","707,106","794,541","775,013","686,391","696,778","929,308","1,291,762","1,516,406","1,760,320","2,180,295","3,152,811","2,506,806",-20.49
Italy,TCEN,,,"102,054","188,657","263,966","361,936","393,543","531,449","480,225","727,647","724,444","816,940","806,129","716,545","727,570","965,857","1,342,518","1,583,479","1,850,206","2,297,699","3,338,155","2,678,626",-19.76
Jamaica,TFR,,239,742,795,450,530,444,542,585,532,750,976,"1,077",935,"1,142","1,302","1,703","2,102","2,420","2,645","3,744","3,899",4.14
Japan,VFN,"220,715","241,525","260,627","267,180","294,937","351,788","391,384","452,420","448,782","616,009","652,820","811,675","942,439","1,000,416","1,006,085","1,412,875","1,043,246","1,425,100","1,314,437","2,409,158","4,993,689","6,373,564",27.63
Jordan,TFN,,,,"2,361","2,493","2,454","3,172","4,945","3,828","5,419","5,106","5,385","11,197","13,007","12,594","13,882","12,118","12,389","15,501","19,657","22,838","36,357",59.20
Jordan,VFN,"1,620","1,737","2,263","3,503","3,699","3,641","4,707","6,975","5,399","7,643","7,202","7,990","12,428","14,437","13,979","13,976","12,208","12,491","15,689","19,968","23,186","37,092",59.98
Kazakhstan,VFR,,,,,,"42,654","41,116","48,306","55,482","76,806","85,696","117,279","171,753","154,220","134,251","108,630","128,312","154,226","205,066","228,617","111,706","117,465",5.16
"Korea, Republic of",VFN,"178,359","199,604","214,244","210,662","316,639","442,794","482,227","539,466","513,236","627,264","709,836","896,969","1,068,925","1,167,891","1,342,317","1,875,157","2,220,196","2,836,892","4,326,869","6,126,865","5,984,170","8,067,722",34.82
Kuwait,VFN,"2,642","3,730","5,072","5,776","4,077","3,435","2,525","3,879","2,819","6,558","5,926","7,529","7,586","9,546","8,207","10,925","14,208","13,283","15,428","15,411","20,534","25,854",25.91
Kyrgyzstan,VFR,,,,,,,,,,,,,,"22,487","22,919","18,384","25,315","24,115","30,056","29,853","35,772","37,263",4.17
Lao People's Democratic Republic,VFN,"4,076","16,707","17,661","15,802","20,269","28,215","40,644","21,724","21,232","33,019","39,210","50,317","54,920","105,852","128,226","161,854","150,791","199,857","245,033","422,440","511,436","545,493",6.66
Latvia,VFR,,288,"1,616",481,733,388,573,260,450,,686,"1,568","2,682","5,973","5,042","13,131","13,500",,,,,,
Latvia,TCER,160,288,579,468,245,325,273,244,203,389,359,457,382,936,"1,593","1,963","2,893","3,666","6,319","12,584","13,022","20,549",57.80
Lebanon,TFN,"1,019",902,808,889,"1,313","1,638","1,591","1,463",950,"1,559","1,642","1,734","2,028","2,472","3,895","5,938","4,862","3,564","3,793","4,161","5,512","6,227",12.97
Lesotho,VFR,,,,,,,,,,,,"1,222","1,894","1,136","2,233","1,596",724,998,"1,360","9,630","8,095","6,878",-15.03
Liechtenstein,THSR,,,,,,,,,,,156,210,252,171,147,272,399,498,730,"1,042","1,189","1,502",26.32
Liechtenstein,TCER,,,,,,,,,,,,,,,,,,542,770,"1,107","1,286","1,597",24.18
Lithuania,THSR,,,,,,,430,957,532,"1,172",947,"1,165",892,"1,785","2,298","3,236","5,278","5,877","5,138","6,525","9,033","11,403",26.24
Lithuania,TCER,,,,,,,432,971,594,"1,186",983,"1,197",955,"1,898","2,515","3,309","5,522","6,124","5,591","7,015","9,568","11,987",25.28
Luxembourg,THSR,,,,,,,,,,,,,,"11,739","13,608","15,529","26,140","41,624","34,176","37,139","37,353","33,927",-9.17
Luxembourg,TCER,,,,,,,,,,,,,,"12,329","14,271","15,933","27,033","42,986","35,649","39,240","39,693","35,697",-10.07
"Macao, China",VFN,"543,240","604,227","527,927","1,317,538","1,630,643","2,285,471","2,981,409","4,183,725","5,681,102","9,518,336","10,462,787","11,985,655","14,873,576","11,613,064","10,988,796","13,228,418","16,161,927","16,900,964","18,631,640","21,252,070","20,411,350","20,455,590",0.22
"Macao, China",VFR,"550,294","607,561","529,829","816,816","1,645,193","2,274,713","3,005,722","4,240,446","5,742,036","9,529,739","10,462,966","11,985,617","14,873,490","11,613,171","10,989,533","13,229,058","16,162,747","16,902,499","18,632,207","21,252,410","20,410,615","20,454,104",0.21
"Macao, China",THSR,"547,527","539,919","569,372","622,214","816,825","1,038,075","1,076,439","1,451,250","1,431,294","2,190,736","2,369,738","2,627,460","2,806,714","3,057,142","3,282,433","4,012,193","4,703,663","5,372,718","6,319,488","6,938,468","6,744,981","7,607,697",12.79
Madagascar,TFN,,,,,,,,,,,,,,,,,,,,,"3,774",,
Malaysia,TFN,,,,,,,,,,,,,,,,,,"1,557,960","1,790,079","1,612,523","1,676,518","2,124,942",26.75
Maldives,TFN,"8,457","4,127","2,686","3,067","3,973","5,380","7,342","12,092","15,021","20,599","11,609","26,396","35,976","41,511","60,666","118,961","198,655","229,551","331,719","363,626","359,514","324,326",-9.79
Mali,TFN,,,,,,,,,,,,,,,,,,"2,640","2,687","3,201","3,422","1,388",-59.44
Mali,TFR,,,,,,,,,,,,,,,,"2,458","2,991","2,659","2,612","3,281","2,080","5,064",143.46
Malta,TFR,,320,489,522,699,882,995,"1,446",,,,,,,,,,,,,,,
Marshall Islands,TFR,,,,,,83,80,159,57,87,113,58,157,61,89,79,83,87,,87,134,,
Mauritius,TFR,"1,918","1,953","2,111","2,366","2,189","2,459","3,615","4,248","3,738","5,291","5,526","4,875","7,739","8,425","6,925","7,609","15,133","20,885","41,909","63,363","89,584","79,374",-11.40
Mexico,TFN,,,,,,,,,,,,"12,007","17,489","19,903","17,220","28,398","36,878","47,810","60,538","75,665","97,889","123,736",26.40
Mexico,TFR,,,,,,,,,,,,,,,,,,"25,972","35,181","43,854","55,659","74,327",33.54
"Micronesia, Federated States of",TFR,,,,,,,,,,,,,451,"1,967","12,712","9,387","4,692","4,652","4,531","2,732","2,516","2,731",8.55
"Moldova, Republic of",TCEN,,,,,,,,,,266,212,368,211,143,144,188,518,555,315,398,337,612,81.60
Monaco,THSN,,,,,"1,189","1,651","1,309","1,698","1,306","1,419","1,466","1,618","2,457","2,254","1,796","2,888","4,311","3,770","3,661","4,128","5,368","3,841",-28.45
Mongolia,TFN,,,,"80,682","48,257","49,341","57,440","89,041","90,337","139,283","170,345","178,941","211,007","196,832","181,523","194,333","200,010","228,547","178,326","157,561","145,029","131,312",-9.46
Mongolia,VFN,"47,721","30,478","32,531","92,789","58,346","57,546","67,360","92,657","91,934","141,473","171,444","180,209","212,158","217,127","232,038","290,061","346,984","361,506","261,468","258,414","215,500","185,824",-13.77
Montenegro,TCEN,,,,,,,,,,,,,,,,,,,,"7,932","13,362","11,894",-10.99
Morocco,TFN,"1,548","1,444","1,372","1,684","2,124","1,972","2,595","2,986","2,579","2,747","3,513","4,028","4,374","4,665","4,129","5,769","5,882","6,899","7,871","9,403","10,515","42,844",307.46
Myanmar,TFN,,,,,"12,148","14,336","16,788","17,732","15,564","17,890","19,596","24,893","29,551","30,792","101,932","113,672","120,953","128,804","187,770","809,399","2,102,677","498,656",-76.28
Namibia,TFN,,,,,,,,,,,,,,"3,661","5,119","4,228","4,035","5,830","9,910","11,583","11,500","12,512",8.80
